"CREATEDAT","CREATEDBY","MODIFIEDAT","MODIFIEDBY","GTMID","PACKAGETITLE","UMBRELLATITLE","COMMENTS","FOLDERLINK","DELETIONINDICATOR","PRACTICE_ID","PACKAGETYPE_ID","GTMSTATUS_ID","GTMRESPONSIBLE_ID"
"2020-07-28 08:21:03.031000000","anonymous","2020-07-28 08:21:03.031000000","anonymous","4","O&G Downstream: Services Survey Analysis using Qualtrics","Intelligent Experience Management Package for Oil & Gas",,"https://teams.microsoft.com/_#/files/General?groupId=4805cc93-003b-4e20-bd94-4ac64f231100&threadId=19%3A8b2b783924ca4a968f8985eef9fb4b8c%40thread.skype&ctx=channel&context=ENR_Innovation%2520Services%2520for%2520Oil%2520%2526%2520Gas&rootfolder=%252Fteams%252FInnovation-ACGBusinessGroup%252FShared%2520Documents%252FGeneral%252FPackages%25202020%252FENR_Innovation%2520Services%2520for%2520Oil%2520%2526%2520Gas",,"1","1","3","I345373"
"2020-07-28 08:25:35.057000000","anonymous","2020-07-28 08:25:35.057000000","anonymous","6","Payment Plan proposal using Machine Learning","Intelligent Machine Learning Package for Utilities","<p><a href=""https://teams.microsoft.com/_#/files/General?groupId=4805cc93-003b-4e20-bd94-4ac64f231100&amp;threadId=19%3A8b2b783924ca4a968f8985eef9fb4b8c%40thread.skype&amp;ctx=channel&amp;context=ENR_Innovation%2520Services%2520for%2520Utilities&amp;rootfolder=%252Fteams%252FInnovation-ACGBusinessGroup%252FShared%2520Documents%252FGeneral%252FPackages%25202020%252FENR_Innovation%2520Services%2520for%2520Utilities"">https://teams.microsoft.com/_#/files/General?groupId=4805cc93-003b-4e20-bd94-4ac64f231100&amp;threadId=19%3A8b2b783924ca4a968f8985eef9fb4b8c%40thread.skype&amp;ctx=channel&amp;context=ENR_Innovation%2520Services%2520for%2520Utilities&amp;rootfolder=%252Fteams%252FInnovation-ACGBusinessGroup%252FShared%2520Documents%252FGeneral%252FPackages%25202020%252FENR_Innovation%2520Services%2520for%2520Utilities</a></p>","https://teams.microsoft.com/_#/files/General?groupId=4805cc93-003b-4e20-bd94-4ac64f231100&threadId=19%3A8b2b783924ca4a968f8985eef9fb4b8c%40thread.skype&ctx=channel&context=ENR_Innovation%2520Services%2520for%2520Utilities&rootfolder=%252Fteams%252FInnovation-ACGBusinessGroup%252FShared%2520Documents%252FGeneral%252FPackages%25202020%252FENR_Innovation%2520Services%2520for%2520Utilities",,"1","1","3","I060537"
"2020-07-28 08:34:21.240000000","anonymous","2020-07-28 08:34:21.240000000","anonymous","8","Enterprise Process Automation with SAP CAI","Intelligent Packages for FSI",,"https://www.bloomberg.com",,"2","2","3","I035761"
"2020-07-28 08:35:58.880000000","anonymous","2020-07-28 08:35:58.880000000","anonymous","9","Automation for Posting Lock Management","Intelligent Automation Package for FSI",,"https://teams.microsoft.com/l/file/018EB23A-CFD1-4519-B627-4226796AC9B6?tenantId=42f7676c-f455-423c-82f6-dc2d99791af7&fileType=pptx&objectUrl=https%3A%2F%2Fsap.sharepoint.com%2Fteams%2FInnovation-ACGBusinessGroup%2FShared%20Documents%2FGeneral%2FPackages%202020%2FFSI_Innovation%20Services%20for%20Banking%20%26%20Insurance%2FAutomation%20for%20Posting%20Lock%20Management%2FIntelligent%20Packages%20for%20FSI%20-%20Posting%20Lock%20Request%20with%20SAP%20iRPA%20%26%20SAP%20CAI.pptx&baseUrl=https%3A%2F%2Fsap.sharepoint.com%2Fteams%2FInnovation-ACGBusinessGroup&serviceName=customspo&threadId=19:2b8bc2ffcf2e466db126787ef8c47526@thread.skype&groupId=77700a12-078c-47b0-b391-5603b2405303",,"2","1","3","I044194"
"2020-07-28 08:39:28.957000000","anonymous","2020-07-28 08:39:28.957000000","anonymous","10","Employee Engagement survey with int. to SuccessFactors","Intelligent Experience Management Package for People Eng.",,"https://www.bloomberg.com",,"3","1","3","I069718"
"2020-07-28 08:41:03.829000000","anonymous","2020-07-28 08:41:03.829000000","anonymous","11","Chatbot for Leave Management","Intelligent Chatbot Package for People Eng.",,"https://www.cnbc.com",,"3","1","3","I345373"
"2020-07-28 08:43:04.356000000","anonymous","2020-07-28 08:43:04.356000000","anonymous","12","Call-center experience feedback","Intelligent Experience Management Package for CX",,"https://www.moneycontrol.com",,"4","1","3","I060537"
"2020-07-28 08:45:02.361000000","anonymous","2020-07-28 08:45:02.361000000","anonymous","13","Delivery experience for end-customers","Intelligent Experience Management Package for CX",,"https://www.forbes.com",,"4","1","3","I035761"
"2020-07-28 08:46:48.474000000","anonymous","2020-07-28 08:46:48.474000000","anonymous","14","GTT Jump-Start for Transportation Management","N/A",,"https://www.bloomberg.com",,"5","1","3","I044194"
"2020-07-28 08:47:57.050000000","anonymous","2020-07-28 08:47:57.050000000","anonymous","15","Experience Management for Transportation Industry","Intelligent Experience Management Package for Transportation",,"https://www.wsj.com",,"5","1","3","I069718"
,,,,"1","First Dummy Record","First Dummy Record","","https://www.forbes.com","X",,,,"I345373"
"2020-07-28 08:17:26.913000000","anonymous","2020-07-28 08:17:26.913000000","anonymous","2","Embedded ML package for S/4 HANA","Intelligent Machine Learning Package for S/4 HANA",,"https://www.bloomberg.com",,"8","1","2","I060537"
"2020-07-28 08:18:49.202000000","anonymous","2020-07-28 08:18:49.202000000","anonymous","3","iRPA Assessment package","Intelligent Automation Package for S/4 HANA","<p>Quick start for iRPA</p>","https://www.wsj.com",,"8","1","2","I035761"
"2020-07-28 08:22:14.243000000","anonymous","2020-07-28 08:22:14.243000000","anonymous","5","Business Insights for Joint venture Accounting – Oil and Gas Upstream process","Intelligent Insights Package for Oil & Gas",,"https://www.bloomberg.com",,"1","1","3","I044194"
"2020-07-28 08:28:38.706000000","anonymous","2020-07-28 08:28:38.706000000","anonymous","7","Fraudulent Claims Management","Intelligent Packages for FSI",,"https://www.bloomberg.com",,"2","2","3","I069718"
